Error_ID,Error_Message,Infotipo
1,P0001-ANSVH,0001
2,P0006-STRAS,0006
3,P0006-ORT01,0006
4,P0006-LAND1,0006
5,Q0006-TELNR,0006
6,P0001-BTRTL ,0001
7,P0002-GBDAT,0002
8,P0002-NACHN,0002
9,P0007-SCHKZ,0007
10,P0001-KOSTL,0001
11,Q0002-FATXT,0002
12,P0007-ENDDA,0007
13,Postal code,0006
14,Cost center,0001
16,Invalid combination of action type,0000
19,Person is already being processed by user ,NITR
20,already used for Person number,0000
22,personnel action for the date of hiring/transfer,0000
23,Formatting error in the field,CFGI
24,P0001-ZZWORKCENTER,0001
25,No entry in table,CFGI
28,No batch input data,NITR
29,Next pay scale increase is in the past,0008
30,employee subgroup,0001
31,personnel area,0001
32,Payroll area change,0001
34,"The CO account assignment object belongs to company code 0949, not 0902",0001
35,CO account assignment,0001
36,No work schedule rule,0007
37,Employee active,0000
38,earliest retro. Date,0001
39,Future Action exists,0000
41,Space not allowed.,0001
42,Insufficient quota,2006
