 1. - Pruebas cuantitativas: Documentar métricas de desempeño 
(tiempos de respuesta, concurrencia máxima, precisión y recall del modelo de clasificación).

Cobertura modular:

2. - Módulo 1 (Arquitectura y programación de sistemas): incluir diagramas UML, 
casos de uso y flujos de datos que muestren la interacción API–base de datos–frontend.

3. - Módulo 2 (Sistemas inteligentes): detallar el entrenamiento del modelo de machine 
learning, datasets empleados y métricas de validación del clasificador.

4. - Módulo 3 (Sistemas distribuidos): ampliar pruebas de tolerancia a fallos, manejo 
de concurrencia y escalabilidad de instancias en producción.

5. - Seguridad y privacidad: Describir con mayor detalle el cifrado de datos, 
la protección de credenciales y el control de acceso de usuarios.

6. - Interfaz y usabilidad: Incorporar capturas adicionales de la plataforma 
en funcionamiento y evidencias de pruebas de usabilidad.

7. - Trabajo a futuro: Priorizar la mejora de la ventana de visualización de errores, el reentrenamiento del modelo para aumentar precisión y la implementación de notificaciones automáticas por correo electrónico.




Numero_Empleado,Descripcion_Error,Fecha_Hora
8311542,"Formating error in the field P0001-BTRTL",2025-10-16T14:23:01
8311542,"Formatting error in the field P0001-KOSTL",2025-10-16T14:23:02
3109874,"Formatting error in the field P0006-ORT01",2025-10-16T14:23:03
3109874,"Formatting error in field P0002-NACHN",2025-10-16T14:23:04
3109874,"Insufficient quota",2025-10-16T14:23:05
5521987,"Enter a personnel area",2025-10-16T14:23:06
5521987,"Formatting error in the field P0007-SCHKZ",2025-10-16T14:23:07
7489012,"Do not enter a personnel action for the date of hiring/transfer",2025-10-16T14:23:08
6112345,"Invalid combination of action type 1G/action reason",2025-10-16T14:23:09
6112345,"Payroll area change possible only at the end of a payroll period",2025-10-16T14:23:10
9302145,"No work schedule rule for key 0103ZY3942TW020220191014",2025-10-16T14:23:11
4215678,"config issue: PA30 0016 No entry in table T545T for GK",2025-10-16T14:23:12
4215678,"Formating error in the field P0002",2025-10-16T14:23:13
1879021,"ID/number JIANWEI_XIE@JABIL.COM already used for Person number 01366840 (sample data)",2025-10-16T14:23:14
1879021,"Change before earliest retro. date 24.12.2017 acc. to control rec. to py area L0",2025-10-16T14:23:15
8895432,"No batch input data for screen MP000800 2010",2025-10-16T14:23:16
8895432,"Space not allowed.",2025-10-16T14:23:17
8895432,"The CO account assignment object belongs to company code 0949, not 0902",2025-10-16T14:23:18
2543167,"Invalid combination of action type 1A/action reason CA",2025-10-16T14:23:19
7765432,"Formatting error in the field P0006-LAND1",2025-10-16T14:23:20
7765432,"Cost center 0010/3211210 blocked against direct postings on 28.11.2018",2025-10-16T14:23:21
1098765,"Formatting error in the field P0001-ANSVH",2025-10-16T14:23:22
5643210,"config issue: PA40 1B No entry in table T710 for the key 420150 on 19.11.2018",2025-10-16T14:23:23
5643210,"Formatting error in the field P0006-STRAS",2025-10-16T14:23:24
5643210,"Future Action exists, check status fields",2025-10-16T14:23:25
8123456,"Invalid combination of action type 1B/action reason",2025-10-16T14:23:26
4987654,"Person is already being processed by user",2025-10-16T14:23:27
4987654,"The CO account assignment object belongs to company code 0301, not 2401",2025-10-16T14:23:28
3141592,"Enter an employee subgroup",2025-10-16T14:23:29
3141592,"Formating error in the field P0002-GBDAT",2025-10-16T14:23:30
